sentiment,content,processing_result
1,al thumama stadium hosts fan leaders moroccan team,"['al', 'thumama', 'stadium', 'host', 'fan', 'leader', 'moroccan', 'team']"
1,qatar becomes open museum preparation fifa world cup qatar 2022,"['qatar', 'becom', 'open', 'museum', 'prepar', 'fifa', 'world', 'cup', 'qatar', '2022']"
1,fifa trade nfts historic plays ahead 2022 world cup clips historic soccer moments connected algorands blockchain launched ahead qatar 2022 world cup,"['fifa', 'trade', 'nft', 'histor', 'play', 'ahead', '2022', 'world', 'cup', 'clip', 'histor', 'soccer', 'moment', 'connect', 'algorand', 'blockchain', 'launch', 'ahead', 'qatar', '2022', 'world', 'cup']"
1,argentina goes crazy release panini official qatar 2022 world cup sticker album first day pre sale stock sold hour release day one shop sold 12 000 packets 60 minutes,"['argentina', 'goe', 'crazi', 'releas', 'panini', 'offici', 'qatar', '2022', 'world', 'cup', 'sticker', 'album', 'first', 'day', 'pre', 'sale', 'stock', 'sold', 'hour', 'releas', 'day', 'one', 'shop', 'sold', '12', '000', 'packet', '60', 'minut']"
1,minister municipality world cup qatar 2022 contributes building lasting legacy achieve sustainable development,"['minist', 'municip', 'world', 'cup', 'qatar', '2022', 'contribut', 'build', 'last', 'legaci', 'achiev', 'sustain', 'develop']"
1,fleet available challenger rent car amp limousine,"['fleet', 'avail', 'challeng', 'rent', 'car', 'amp', 'limousin']"
0,fifa world cup qatar 2022 countdown 78 days kicks,"['fifa', 'world', 'cup', 'qatar', '2022', 'countdown', '78', 'day', 'kick']"
1,hosted special event leaders moroccan national team fans al thumama stadium part promotional programmes world cup qatar 2022 finals,"['host', 'special', 'event', 'leader', 'moroccan', 'nation', 'team', 'fan', 'al', 'thumama', 'stadium', 'part', 'promot', 'programm', 'world', 'cup', 'qatar', '2022', 'final']"
1,efforts promote culture visual arts community every part country preparation hosting prominent event fifa world cup qatar 2022 begins nov 20 2022,"['effort', 'promot', 'cultur', 'visual', 'art', 'commun', 'everi', 'part', 'countri', 'prepar', 'host', 'promin', 'event', 'fifa', 'world', 'cup', 'qatar', '2022', 'begin', 'nov', '20', '2022']"
2,qatar world cup killing nepali workers,"['qatar', 'world', 'cup', 'kill', 'nepali', 'worker']"
0,fifa world cup qatar 2022 promising players,"['fifa', 'world', 'cup', 'qatar', '2022', 'promis', 'player']"
